Name,Overall Rank,Nationality,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,,,,,,,Total Score,,,,,,,0,,Apparatus,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar
Xiao Ruoteng,1,CHN,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,14.433,,,,,,,1,,Total Score,14.433,14.8,13.8,14.9,14.6,14.4,14.516,14.266,13.666,14.9,14.8,14.3,15.733,13.433,13.666,15,14.633,13.966,14.066,14.9,14.1,14.783,15.266,13.2,13.933,13.733,14.133,14.966,14.933,14.333,14.333,13.666,14.3,14.1,14.5,14.433,14.566,14,14.066,14.5,14.533,13.333,13.766,13.333,14.566,14.833,14.966,12.533,14.133,12.933,13.833,14.533,14.933,13.466,14.5,13.866,14.466,14.8,14.541,11.066,13.866,13.8,13.333,13.866,14.6,13.566,14.233,13.266,13.6,14.433,12.7,14.5,13.333,13.4,14.2,14.9,13.766,12.733,13,13.533,12.866,14.133,13.6,13.4,13.9,11.566,14.166,14.5,14.266,12.133,12.5,12.3,13.5,14,14.1,13.833,12.9,12.866,13.133,13.9,14.1,13.333,14.133,12.833,13.5,13,14.1,12.6,13.566,11.633,13.766,13.433,14.366,13.4,11.733,13.525,12.9,14.266,14.683,12.933,13.133,13.566,13.1,14.1,13.1,12.9,14.266,12.866,11.7,13.866,13.633,13.333,13.333,12.266,12.4,13.733,12.366,12.833,13.666,10.633,13.5,13.633,13.4,11.866
Lin Chaopan,2,CHN,14.516,14.266,13.666,14.900,14.300,14.800,,,,,,,14.516,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenzo Shirai,3,JPN,15.733,13.433,13.666,15.000,13.966,14.633,,,,,,,15.733,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Belyavskiy,4,RUS,14.066,14.900,14.100,14.783,13.200,15.266,,,,,,,14.066,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manrique Larduet,5,CUB,13.933,13.733,14.133,14.966,14.333,14.933,,,,,,,13.933,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nile Wilson,6,GBR,14.333,13.666,14.300,14.100,14.433,14.500,,,,,,,14.333,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yul Moldauer,7,USA,14.566,14.000,14.066,14.500,13.333,14.533,,,,,,,14.566,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleg Verniaiev,8,UKR,13.766,13.333,14.566,14.833,12.533,14.966,,,,,,,13.766,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Onder,9,TUR,14.133,12.933,13.833,14.533,13.466,14.933,,,,,,,14.133,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Nagornyy,10,RUS,14.500,13.866,14.466,14.800,11.066,14.541,,,,,,,14.5,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo Calvo Moreno,11,COL,13.866,13.800,13.333,13.866,13.566,14.600,,,,,,,13.866,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Braegger,12,SUI,14.233,13.266,13.600,14.433,14.500,12.700,,,,,,,14.233,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artur Davtyan,13,ARM,13.333,13.400,14.200,14.900,12.733,13.766,,,,,,,13.333,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garam Bae,14,KOR,13.000,13.533,12.866,14.133,13.400,13.600,,,,,,,13,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
